Time,Tx ms, RSSI dBm, SNR dB
17:48:52.661,0,-98,9
17:48:58.722,404,-91,9
17:49:04.785,405,-92,10
17:49:10.844,405,-102,8
17:49:16.928,406,-92,10
17:49:22.990,406,-102,9
17:49:29.054,406,-111,6
17:49:35.118,405,-112,5
17:49:41.174,405,-111,4
17:49:47.236,406,-113,4
17:49:53.290,404,-108,7
17:49:59.374,404,-105,9
17:50:05.433,403,-84,9
17:50:11.501,403,-82,9
17:50:17.551,403,-91,10
17:50:23.591,404,-89,9
17:50:29.693,404,-86,10
17:50:35.732,404,-97,9
17:50:41.814,403,-98,9
17:50:47.866,403,-98,9
17:50:53.950,403,-100,10
